text,label
@politico No. We should remember very clearly that #Individual1 just admitted to treason . #TrumpIsATraitor  #McCainsAHero #JohnMcCainDay,hate
I don’t know how much more I can take! 45 is a compulsive liar! #Trump30Hours #TrumpIsATraitor,hate
#ShameOnICC  1. ICC on Dhoni's gloves                    Vs  2.ICC planning the World Cup https://t.co/4kO3zKt7ln,hate
Disgusting! And they don’t change their culture or come up with vetting system or preventative ways to stop this from occurring. This will continue to happen. The Catholic Church needs to go! #rapist #ChildTrafficking #CatholicChurch #CatholicTwitter https://t.co/tb4tSoD2Lz,hate
"@TheRealOJ32 Of all the retired NFL players, why is it that you DON’T suffer from CTE?     You should be at the bottom of a pool you mistook for an elevator. #murderer",hate
@kojikabu @Maggie_Klaus @JoeBiden What it is that we will do anything to get trump the hell out there EXCEPT CHEAT LIKE TRUMP DID!!!!  #FuckTrump #Bluewave2020,hate
"#ShameOnICC  ICC is earning billions from this event, but at the management level they performance is zero. Even a small company manager can handle such events more efficiently then ICC. https://t.co/GA1Quubpm2",hate
"Its a shame when #antimuslim #Islamophobe @realDonaldTrump is attacking @SadiqKhan, @georgegalloway has to behave like this.... #istandwithsadiqkhan #WeAllStandTogether https://t.co/iYbNeeSXaO",hate
"@funder Am I the only one who feels like it’s no longer a question of if #TrumpIsATraitor, but rather if Republicans are still Americans?",hate
"'Well, even his “friendly” Fox &amp; Friends were on him about what he said originally... he had to backtrack...   He is a very dangerous man.' #TrumpIsATraitor #TrumpResignNow #Trump #TrumpFail #TrumpDerangementSyndrome  #TRUMP2020Landside #MAGA #Trump2020 #TrumpTrain #TrumpTrain2020 https://t.co/e3OpRi7jmH",hate
"#Rangzen people, we have to stop this fake activist troll from ruining our #FreeTibet movement.     #Tibetans #humanrights #BoycottChina #Dharamsala #March10 #Tibetan #DalaiLama #BhoRangzen https://t.co/Hs54Goqis7",hate
Proven that @MamataOfficial is in support of terror mob and in favor of changing demography of Bengal. CM is zaddi and same working like Hitler. #DoctorsFightBack #BengalDoctorsStrike #hitlerdidi  #MamataLosingControl #MamataBanarjee #mamtafrustrated https://t.co/hKZGxr3lUo,hate
"#DhoniKeepsTheGlove   #DhoniKeSaathDesh   #IndiaWithDhoni    We need to understand ICC rules correctly    It can only allow terror sponsering countries to play,   but not the Army insignia.",hate
@CNN Disgusting! And they don’t change their culture or come up with vetting system or preventative ways to stop this from occurring. This will continue to happen. The Catholic Church needs to go! #rapist #ChildTrafficking #CatholicChurch #CatholicTwitter,hate
"If that Bengali Jihadi $lu7 catches any illness, no doctor must treat her. She should suffer from non-treatment and face consequences! #DoctorsFightBack #DoctorsUnderOppression #DoctorsProtest",hate
"@realDonaldTrump You literally admitted you’d commit a felony to get elected.  Barr, if he actually followed the law, would have arrested you.  Stop harassing America.  PS: We all know Iran is innocent and you are just trying to distract from your latest felony.  #TrumpIsATraitor #TrumpColluded",hate
"@BorisJohnson is not a harmless buffoon. he is a cold, calculating, vile man who uses his persona to get away with  his racism, homophobia and elitism. Oh and he’s soon to be our new prime minster, help us all  #BorisJohnsonShouldNotBePM #borisjohnson     https://t.co/ZfozJi2t8d",hate
"@realDonaldTrump I'm 'OK' with it!    Christopher Steele was so concerned about what he was finding that he contacted FBI, right?!    That's what the TRUMP CAMPAIGN &amp; TRUMP FAMILY SHOULD HAVE DONE!    #TrumpIsATraitor  #TrumpMustGo",hate
@Comey I am crushed that no one is calling attention to the lie that @hogangidley45 told about #JamesComey being a convict!!!  See the short clip to confirm that #Trump Administration is lying.  #TrumpIsATraitor #TrumpResign #TrumpTantrum #WhiteHouse https://t.co/BNpZLCBQpE,hate
@TheRealOJ32 You belong in jail and then in hell #murderer #JusticeForNicoleAndRon,hate
Don't know y no rain in England's match . Does this #WorldCup2019 is fixed ? 5th match of England but no rain or a drop of water in there games 😠😠🤨 . I think that @ICC and @ECB_cricket had fixed the #CWC19 for them .  #ShameOnICC   #ENGvWI   #ENGvWI   #TeamIndia   #INDvsPAK,hate
Fact One  @RoryStewartUK and #BorisJohnson attend Eton and Oxford  #RoryStewart becomes Foreign office Diplomat awarded OBE for services in Afghanistan  #BorisJohnson becomes Times Newspaper Columnist sacked for deception  #roryforleader #BorisJohnsonShouldNotBePM,hate
@GOP IMPEACH DONALD TRUMP.    #ITMFA  #ComplicitGOP  #Fucktrump,hate
@saquibIM @sardesairajdeep @msdhoni What rules you are referring? Rules of having namaz in the play ground?    We can understand your feeling.    #biasedicc #DhoniKeepTheGlove #IndiaStandsWithDhoni #DhoniKeSaathDesh #DhoniKeepsTheGlove #dhonigloves,hate
"Dear ICC, please don't forget that BCCI is your father.....    So,mind on your business....    Do better umpiring....    #DhoniKeepsTheGlove #DhoniKeepsTheGlove",hate
A billion Cricket fans waited four years to watch how it rains in England #shameonicc https://t.co/n3enbfwl78,hate
